key, "angle", "yaw"
key, "colorGrade", "gradingTexture"
key, "count", "amount"
key, "targetShaderName", "shader"
key, "targetname", "name"
key, "team", "group"
value, "info_alien_intermission", "pos_alien_intermission"
value, "info_human_intermission", "pos_human_intermission"
value, "info_notnull", "pos_target"
value, "info_null", "pos_target"
value, "info_player_deathmatch", "pos_player_spawn"
value, "info_player_intermission", "pos_player_intermission"
value, "info_player_start", "pos_player_spawn"
value, "misc_anim_model", "gfx_animated_model"
value, "misc_light_flare", "gfx_light_flare"
value, "misc_particle_system", "gfx_particle_system"
value, "misc_portal_camera", "gfx_portal_camera"
value, "misc_portal_surface", "gfx_portal_surface"
value, "misc_teleporter_dest", "pos_target"
value, "misc_teleporter_dest", "pos_target"
value, "target_alien_win", "game_end"
value, "target_delay", "ctrl_relay"
value, "target_human_win", "game_end"
value, "target_kill", "game_kill"
value, "target_location", "pos_location"
value, "target_position", "pos_target"
value, "target_relay", "ctrl_relay"
value, "target_rumble", "fx_rumble"
value, "target_score", "game_score"
value, "target_speaker", "sfx_speaker"
value, "trigger_always", "sensor_start"
value, "trigger_ammo", "env_afx_ammo"
value, "trigger_buildable", "sensor_buildable"
value, "trigger_class", "sensor_player"
value, "trigger_equipment", "sensor_player"
value, "trigger_gravity", "env_afx_gravity"
value, "trigger_heal", "env_afx_heal"
value, "trigger_hurt", "env_afx_hurt"
value, "trigger_multiple", "sensor_player"
value, "trigger_push", "env_afx_push"
value, "trigger_stage", "sensor_stage"
value, "trigger_teleport", "env_afx_teleport"
value, "trigger_win", "sensor_end"
